id,comment
487,: 不是西班牙語難道是西螺語嗎XDD
488,: 滿特別的，不過不喜歡
489,: 真的好洗腦，昨天聽完一直有旋律repeat
490,: 可能真的可能成為大考禁曲系列  XD
491,: 我覺得很好聽耶，很特別的曲風
492,: 歌還不錯，MV裡被忙內吸引～太耀眼了
493,: ！
494,: 來個許願舞台一葉小婷一起拉筋劈腿
495,: MV觀看數是不是不太行啊
496,: 可能沒有買廣告?
497,: 有沒有買跟宣傳度還是有影響啦，而且是新
498,: 團
499,: 看會不會有什麼舞蹈挑戰效應之類的
500,: 好可惜rap唱不好 給會唱rap的團會全曲昇華
501,: 這次走秀好看多了（大誤
502,: 回錯文了 囧
503,: 好想知道金佳藍現在在想什麼
504,: 串流不是都同步上架怎麼一天了還沒上
505,: 上架了
506,: 回p大 音源都出了哦～
507,: 推完後再刷一次就上架了
508,: 采源飆完高音以為要來段高音bridge了
509,: 結果還是接回那段低音chorus
510,: mv蠻吸引人會想看完 但對比我喜歡前一
511,: 首 剛剛刷完舞台暫時沒有對這首改觀
512,: m大可以聽其他首哦～舞台也都出來了
513,: 如果對這團有興趣但覺得主打沒中的話，可
514,: 以給No Celestial一個機會
515,: https://youtu.be/pZyeb5zFQRk
516,: 樓上這首超讚!!!好喜歡
517,: 好美國青春校園的感覺
518,: 笑死 最後躺沙發 采、允直接撞頭
519,: 有其他三首舞台了 個人覺得比主打好聽
520,: antifragile循環播放竟然可以無縫接軌
521,: 非主打都好好聽!!!!
522,: 整張專輯除了主打 都很好聽
523,: 非主打好讚
524,: 罰酒～罰酒
525,: 說不上是那種一聽就覺得很好聽的歌 但也不
526,: 會難聽 覺得是他們的聲線撐不起來 如果是
527,: 那種完全的歐美嗓來唱就完全會是另一風味
528,: 覺得出道曲好聽多了+1
529,: 覺得好聽欸～比出道曲更喜歡
530,: z大...我聽完了 怎麼那麼像 手部動作
531,: 也很像
532,: 每首歌都像是念經 跟出道曲一樣
533,: 說念經的一定沒有仔細聽（攤手）
534,: 主打很時髦 非主打也都順耳好聽
535,: 還不錯啦MV用仿自拍紀錄片穿插真是神來
536,: 一筆
537,: 不喜歡  比較喜歡出道曲 ..
538,: 難聽 live 更是慘不忍睹…
539,: 歌一言難盡，但MV很好看，成員都拍的很漂
540,: 亮
541,: 覺得歌跟舞台都超棒 推推
542,: 聽完腦袋裡：Antitititi fragile fragil
543,: e
544,: 啊啊啊感覺會大紅
545,: 沒想到副歌是這個風格 超洗腦
546,: https://youtu.be/8skl6AxMyec
547,: Teaser2 大家都好迷人
548,: 看完樓上的teaser2真的期待值爆表 大家
549,: 都好美好帥好可愛啊！
550,: 沒有嘎蘭真是太好了
551,: 預告表情超可愛的wwwww
552,: teaser2采源最後一句很讚欸
553,: 她們的概念在我標準是四代女團最吸引人
554,: 做的也很用心，真的感覺到女生on top、
555,: 做自己的魅力，而且成員都又帥又美
556,: 舞好可愛
557,: 吐舌那段做challenge應該很可愛
558,: 外流一小段了 希望不會有影響...
559,: 又外流了?
560,: 恭喜再次出道
561,: 最後一句皮卡丘
562,: 剛剛以為是相關影片 結果直接被劇透
563,: 外流我覺得還好耶，就當小炒作
564,: 外流一分鐘感覺不是一小段而已了XD
565,: 外流一分鐘欸 超多  現在歌不都3分鐘
566,: 結束
567,: 表情都太讚了！好期待舞台和直拍
568,: 靠 外洩又如何現在看完更期待！！！！
569,: 已被洗腦完蛋惹XDDDDDD
570,: 預感這次會大爆！！！
571,: 推特壽司已被罵翻了XD
572,: 感覺很讚 期待全曲
573,: 想看舞台！
574,: Key應該已經把舞給記住了 完全在後
575,: 面跟著跳
576,: 貓貓洗耳朵那部分太可愛了！
577,: 皮卡chu ~~
578,: mv跟歌都被外流了
579,: 比較喜歡fearless的曲風
580,: 好期待
581,: mv副歌看完比較喜歡fearless
582,: 但這次造型好看很多
583,: 外流完就不新鮮不好聽了嗎XD 而且差一
584,: 兩天而已
585,: Teaser允真整個美國青春少女感 好美～
586,: 聽起來蠻洗腦的
587,: 小貓動作
588,: 而且舞好可愛～
589,: 感覺很不錯！
590,: 舞好可愛 我愛允真 五人LS真的太讚
591,: 感覺貓咪舞會狂被challenge XD
592,: 看完teaser2更期待了感覺會喜歡～～
593,: 好可愛好洗腦，期待全曲
594,: 暴雷沒關係，超好聽
595,: 有上Gym鐘國 可去看
596,: 推推 期待
597,: 超洗腦 帥氣又可愛
598,: 好聽耶！好期待！
599,: 采有夠可愛
600,: 感覺會是抖音下一個熱門舞蹈的感覺
601,: 小表情很可愛！
602,: 好好聽 好期待 fim寶大發！
603,: 最後一句有皮卡丘XD
604,: 很洗腦XDDD太期待了
605,: 采源真的好亮眼，又辣又可愛
606,: Teaser2好好看 允真 真的很漂亮
607,: 看完外流反而更期待完整版XDD
608,: 編舞跟音樂都很喜歡~
609,: 預告二超美
610,: 滿洗腦的
611,: 外流的部分雖然切鏡頭很快，但是還是好
612,: 期待！！！teaser 妹寶看到隕石墜落特別
613,: 有貓咪的感覺！
614,: 我也覺得看完外流會更期待完整版XD
615,: 沒有佳覽的世界真是太美好了
616,: 安踢踢踢踢罰酒罰酒 安踢踢踢踢罰酒 洗
617,: 腦
618,: 好罪惡 但是聽完外流對歌曲大加分欸….
619,: 有被允吐舌小煞到
620,: 櫻花的鼻子真的回不去了
621,: 允真吐舌可愛  五人團完美
622,: 貓貓舞也太萌...
623,: 竟然是可愛雷鬼風！
624,: 編舞意外地可愛？看Trailer時還以為是酷
625,: 酷的風格
626,: 看完外流反而從好期待變超期待了（？）
627,: 這種編舞感覺會紅
628,: 聽感上感覺fearless更順耳俐落一點
629,:  但這次感覺真的很洗腦
630,: 說編舞像雙頭蛇感覺很有意思
631,: 好喜歡這風格!!
632,: 太期待了 感覺會很中毒 希望能有好成績
633,: 編舞可愛 音樂很酷 好讚
634,: 好可愛的舞
635,: 貓拳好可愛
636,: 後來想她們這麼認真管理，因為這舞得健
637,: 康線條跳才好看啊
638,: 期待明天
639,: 聽完更期待+1
640,: 太期待完整版了！好洗腦
641,: 反而這對段不喜歡，一直唸經ORZ
642,: MV出來了，整首都在唸經，我不愛...
643,: 公司一直丟念經歌給他們
644,: 這張如果再做不起來就危險了
645,: 哇 期待新歌 LS真的氛圍超好
646,: 非常期待
647,: 推推～
648,: 超級期待！
649,: 期待！
650,: IVE粉但也喜歡LS！很棒的團已預購支持
651,: 哇我還沒訂耶，居然60萬了！！
652,: LS加油  最喜歡的新團現在
653,:  以現在的大盤來說 算是不如預期
654,: 粗卡嘿~
655,:  剛看推特 MV還被外洩...
656,: 60萬比很多男團還多欸
657,: 60萬很多欸!!
658,: 真心疑惑，銷量應該要多少才符合預
659,: 期呢？IVE以LO
660,: VE DIVE回歸初動大約33萬，LS第一
661,: 次回歸預售已破
662,: 60萬，應該算很可以了吧….？
663,: (雖然預售數量不等於初動就是了)
664,: 哈哈哈哈 大家對她們期待是有多高
665,: 可能在某些人心中沒有一百萬就是不行吧
666,: 60萬粗卡！ 期待回歸！
667,: 而且這還是經歷過第一張一些風雨
668,: 不用跟那個人計較啦xd 黑單就好
669,: 舞台都好棒，LS超讚
670,: 在這版被775跟abc釣到的話要多練練
671,: 已預購五張支持Fim寶
672,: https://youtu.be/iXZEX5Lhsp8
673,: 節目預告有透漏一些主打，想聽的可以去聽
674,: 聽看，舞蹈動作挺可愛洗腦的XD
675,: 五人組合真的讚讚
676,: 好扯的銷量
677,: 還蠻洗腦的耶，這段是副歌嗎
678,: 編舞意外地有趣
679,: 推FIM寶！
680,: 看完Love shot舞台好感度破表，而且cove
681,: r舞台開麥好感人
682,: 推 成員回歸前也很努力把握機會 舞台很
683,: 棒
684,: 真的會愛上的團..已經心動想買專
